Order;City;Cantidad
1115332025852-01;Portoviejo;1
1115332381458-01;Portoviejo;1
1115332677717-01;Guayaquil;1
1115332888741-01;Guayaquil;1
1115340899909-01;Guayaquil;20
1115341067531-01;Portoviejo;1
1115341153696-01;Milagro;1
1115341262189-01;Quito;2
1115341835041-01;Manta;1
1115342923526-01;Posorja;1
1115350418375-01;Manta;1
1115350556318-01;Manta;1
1115351001587-01;Guayaquil;1
1115351396405-01;Samborondon;1
1115351651110-01;Samborondon;1
1115352510186-01;Portoviejo;1
1115352709441-01;Sangolqui;1
1115353229437-01;Daule;1
1115360452182-01;Portoviejo;1
1115360598884-01;Santa Elena;1
1115360973950-01;Guayaquil;105
1115360976259-01;Riobamba;1
1115361373629-01;Distrito Metropolitano de Quito;1
1115361973117-01;Duran;1
1115362044757-01;Quito;1
1115362701412-01;Santa Elena;1
1115362849389-01;Santa Elena;1
1115370082318-01;Quito;1
1115370437930-01;Quito;1
1115370457228-01;Samborondon;1
1115370782043-01;Guayaquil;1
1115372538576-01;Portoviejo;1
1115373068157-01;Guayaquil;1
1115373173169-01;Esmeraldas;1
1115373476712-01;Sucre;1
1115382543238-01;Quito;1
1115390686607-01;Guayaquil;1
1115392008460-01;Quito;2
1115392013659-01;Quininde;8
1115393115983-01;Guayaquil;1
1115400309527-01;Guayaquil;1
1115402425083-01;Pedernales;1
1115402927176-01;Ruminahui;2
1115403330673-01;Guayaquil;2
1115403362806-01;Santa Lucia;2
1115423408144-01;Daule;1
1115432552690-01;Daule;3
1115500661722-01;Mitad del Mundo;2
1115501231231-01;Mitad del Mundo;2
1115501440168-01;Mitad del Mundo;2
1115502501053-01;Guayaquil;1
1115503458629-01;Guayaquil;1
1115510039885-01;Pedro Carbo;1
1115510122348-01;Milagro;1
1115511668857-01;Loja;1
1115511886009-01;Portoviejo;1
1115512211371-01;Ibarra;1
1115512489842-01;Mitad del Mundo;2
1115521361118-01;Quito;1
1115522356870-01;Quito;2
1115522977354-01;Mitad del Mundo;2
1115531100218-01;Esmeraldas;4
1115531751799-01;Quito;5
1115532071078-01;Sucre;1
1115532134254-01;Guayaquil;2
1115532531709-01;Pedro Carbo;1
1115532780878-01;Quito;9
1115532915443-01;Salitre;1
1115540003072-01;Samborondon;1
1115540370660-01;Guayaquil;1
1115541968716-01;Milagro;28
1115542101743-01;Guayaquil;1
1115542310228-01;Pedro Carbo;1
1115542449799-01;Guayaquil;1
1115543043074-01;Salitre;1
1115543247921-01;Salitre;1
1115550198223-01;Guayaquil;1
1115550366002-01;Guayaquil;1
1115550489231-01;Guayaquil;1
1115550620601-01;Zaruma;7
1115550953958-01;Montalvo;1
1115552479442-01;Guayaquil;1
1115560176992-01;Distrito Metropolitano de Quito;1
1115560254117-01;Quito;1
1115560430197-01;Lago Agrio;1
1115560839389-01;Guayaquil;2
1115561187296-01;Santo Domingo;77
1115562139439-01;Distrito Metropolitano de Quito;1
1115562303352-01;Guayaquil;1
1115562516181-01;San Lorenzo;2
1115570045864-01;Santo Domingo;1
1115570379673-01;Distrito Metropolitano de Quito;1
1115570468483-01;Distrito Metropolitano de Quito;1
1115570640870-01;Salitre;1
1115571813173-01;Distrito Metropolitano de Quito;1
1115572318535-01;Quito;1
1115572353377-01;Distrito Metropolitano de Quito;1
1115572512467-01;Distrito Metropolitano de Quito;1
1115572982432-01;Guayaquil;2
1115573048681-01;Distrito Metropolitano de Quito;1
1115573413109-01;Quito;1
1115573549678-01;Salitre;1
1115580148911-01;Guayaquil;1
1115580700166-01;Sangolqui;26
1115581869192-01;Pedro Carbo;1
1115582955525-01;Salitre;1
1115583412084-01;Quito;6
1115583592326-01;Guayaquil;1
1115590117192-01;Riobamba;105
1115591524294-01;Guayaquil;1
1115591650222-01;Daule;1
1115592111176-01;Quito;1
1115592326355-01;Milagro;1
1115592960010-01;Guayaquil;16
1115593531678-01;Guayaquil;2
1115601357345-01;Quito;1
1115602592197-01;Lomas De Sargentillo;1
1115603478580-01;Guayaquil;1
1115611737129-01;Loja;38
1115611891671-01;Distrito Metropolitano de Quito;1
1115612153978-01;Guayaquil;1
1115620651786-01;Santo Domingo;1
1115621936226-01;Chone;1
1115623380813-01;Ruminahui;11
1115630313976-01;Chone;18
1115631258158-01;Guayaquil;50
1115662363100-01;Guayaquil;1
1115700087945-01;Pintag;71
1115740521082-01;Quito;1
1115741271023-01;Cuenca;2
1115741667201-01;Cuenca;2
1115741995578-01;Latacunga;1
1115743500240-01;Lomas De Sargentillo;1
1115750708297-01;Santa Elena;1
1115751161736-01;Quito;2
1115751340029-01;Pedro Carbo;2
1115761706771-01;Portoviejo;1
1115762116946-01;Quito;2
1115762260038-01;Machala;1
1115770200906-01;Guayaquil;1
1115771036961-01;Manta;54
1115771427033-01;Guayaquil;6
1115772295575-01;Portoviejo;1
1115772664088-01;Pedro Carbo;1
1115780386407-01;Duran;1
1115781396812-01;Salitre;1
1115781614558-01;Pedro Carbo;2
1115781818894-01;Samborondon;1
1115782809322-01;Guayaquil;1
1115782936839-01;Ibarra;1
1115783296215-01;Quito;16
1115790130901-01;Guayaquil;1
1115790215709-01;Cuenca;2
1115791351176-01;Bolivar;1
1115792158166-01;Guayaquil;1
1115792571159-01;Lomas De Sargentillo;1
1115792795613-01;Manta;1
1115792935289-01;Quito;12
1115793358639-01;Guayaquil;1
1115793468626-01;Guayaquil;1
1115793574481-01;Milagro;2
1115802231143-01;Cuenca;1
1115802592136-01;Manta;2
1115802654983-01;Quito;1
1115802835027-01;Milagro;1
1115802965161-01;Salitre;1
1115803342511-01;Loja;1
1115810119457-01;Cotacachi;1
1115810734027-01;Pedro Carbo;1
1115811468634-01;Salitre;1
1115812716108-01;Santa Rosa;1
1115820180784-01;Quevedo;1
1115820334493-01;Guayaquil;7
1115820384016-01;Guayaquil;1
1115820739092-01;Quito;1
1115821003737-01;Portoviejo;1
1115822092690-01;Pedro Carbo;1
1115822319764-01;Machala;1
1115822379145-01;Salitre;1
1115822485009-01;Guayaquil;25
1115822594646-01;Quito;67
1115830931402-01;Quito;1
1115831152381-01;Guayaquil;1
1115831303397-01;Lomas De Sargentillo;1
1115832035966-01;Guayaquil;2
1115832646618-01;Esmeraldas;1
1115833584373-01;Manta;1
1115841897184-01;Playas;1
1115842160820-01;Machala;1
1115842834340-01;Rocafuerte;1
1115842918909-01;El Triunfo;2
1115850433560-01;Guayaquil;3
1115851036536-01;Guayaquil;22
1115852144418-01;Guayaquil;1
1115862022635-01;Quito;33
1115863350348-01;Quito;8
1115870134045-01;Machala;1
1115870856228-01;Otavalo;2
1115870930432-01;Vinces;18
1115880736681-01;Vinces;11
1115882375190-01;Guayaquil;17
1115891132820-01;Santo Domingo;1
1115892514197-01;Guayaquil;2
1115893157298-01;Guayaquil;1
1115960212318-01;Nobol;1
1115973331252-01;Yantzaza;1
1115980432239-01;Portoviejo;1
1115981732543-01;Manta;1
1115982537412-01;Guayaquil;1
1115991300381-01;Lomas De Sargentillo;1
1116001026599-01;Palestina;1
1116001139094-01;Manta;1
1116001374921-01;Guayaquil;2
1116012266386-01;Pedro Carbo;1
1116012649602-01;Quito;1
1116013196215-01;Recinto La Maritza;2
1116020288044-01;Cantón Daule;2
1116020406576-01;Cantón Daule;2
1116020848472-01;Quito;2
1116021048882-01;Guayaquil;1
1116022317861-01;Guayaquil;1
1116030453491-01;Santa Elena;1
1116030776623-01;Mitad del Mundo;2
1116031341527-01;Quito;2
1116032023112-01;Guayaquil;1
1116032621581-01;Lomas De Sargentillo;1
1116032836911-01;Samborondon;1
1116033525972-01;Guayaquil;1
1116041340417-01;Pillaro;1
1116042778230-01;Guayaquil;26
1116042897588-01;Vinces;1
1116043477211-01;Quito;1
1116051163214-01;Santo Domingo;1
1116051457738-01;La Troncal;2
1116051697083-01;Quevedo;2
1116052604081-01;Quito;1
1116052749230-01;Samborondon;1
1116053598596-01;Quito;45
1116060016562-01;Guayaquil;2
1116062211472-01;Guayaquil;1
1116062335483-01;Mitad del Mundo;1
1116062635722-01;Camilo Ponce Enriquez;3
1116063563436-01;Quevedo;2
1116070470308-01;Quito;1
1116071926047-01;La Libertad;1
1116071955352-01;Guayaquil;1
1116072424842-01;La Libertad;1
1116072531018-01;La Libertad;1
1116073066825-01;Lomas De Sargentillo;1
1116073538150-01;Quito;1
1116081479532-01;Quito;1
1116081618599-01;Machala;1
1116091122790-01;Guayaquil;1
1116092678040-01;Samborondón;1
1116093157817-01;Milagro;1
1116100042628-01;Milagro;1
1116100286530-01;Milagro;1
1116101016546-01;Guayaquil;1
1116103170478-01;Duran;1
1116103209482-01;Guayaquil;1
1116110136442-01;Guayaquil;1
1116113540470-01;Balsas;4
1116220868197-01;Guayaquil;1
1116220984431-01;Flavio Alfaro;1
1116230084470-01;Quito;1
1116230148987-01;Quito;1
1116231116290-01;Guayaquil;31
1116231396675-01;Guayaquil;16
1116232029434-01;Pedro Carbo;1
1116232310395-01;Pedro Carbo;1
1116232327922-01;Loja;1
1116241802618-01;A. Baquerizo Moreno - Jujan;1
1116243268885-01;Posorja;1
1116250501025-01;Guayaquil;2
1116251043719-01;Posorja;1
1116251442565-01;Guayaquil;1
1116251695319-01;La Troncal;1
1116251886236-01;El Carmen;1
1116251978253-01;Quito;3
1116252503675-01;Alangasí;1
1116252606169-01;Santa Rosa;1
1116253293430-01;Quito;46
1116260099934-01;La Troncal;1
1116260583556-01;Guayaquil;2
1116261385752-01;Guayaquil;1
1116261689395-01;Milagro;1
1116261731303-01;Lomas De Sargentillo;1
1116262264419-01;Balzar;1
1116262414961-01;Balzar;1
1116262444134-01;La Troncal;1
1116263322467-01;La Troncal;2
1116263544994-01;La Troncal;1
1116263565382-01;Daule;2
1116270053374-01;Manta;1
1116270678824-01;Babahoyo;1
1116271700546-01;Quito;2
1116272723525-01;Guayaquil;1
1116273080047-01;Manta;1
1116281500313-01;Daule;1
1116281993874-01;Nobol;1
1116282382047-01;Posorja;1
1116283335960-01;Santa Rosa;1
1116290363735-01;Guayaquil;1
1116290648488-01;Nobol;1
1116291340140-01;Milagro;1
1116291376091-01;Salinas;1
1116291698132-01;Naranjal;1
1116291712606-01;Salitre;1
1116292069217-01;Pedro Carbo;1
1116292654367-01;Balzar;1
1116293308459-01;Quito;1
1116300338755-01;Puyo;3
1116300927512-01;Pedro Carbo;1
1116301052450-01;Pedro Carbo;1
1116301475482-01;Antonio Ante;1
1116301925649-01;Milagro;1
1116302230062-01;Tonsupa;3
1116302374277-01;Guayaquil;1
1116310197080-01;Guayaquil;2
1116310211599-01;Salinas;1
1116310226848-01;Pedro Carbo;1
1116310939117-01;Santo Domingo;2
1116311423812-01;Portoviejo;1
1116311567411-01;Portoviejo;1
1116313519829-01;Pedro Carbo;1
1116320784563-01;Pedro Carbo;1
1116320936781-01;Pedro Carbo;1
1116321004239-01;Pedro Carbo;1
1116321804549-01;Portoviejo;1
1116321926882-01;Portoviejo;1
1116330791485-01;Guayaquil;1
1116331537716-01;Babahoyo;1
1116331836280-01;Lomas De Sargentillo;1
1116332099351-01;El Coca - Francisco De Orellana;1
1116332816352-01;Loja;9
1116333067093-01;Loja;10
1116333153813-01;Quito;1
1116333300654-01;Loja;8
1116341351126-01;Ruminahui;2
1116341970254-01;Montecristi;1
1116342353091-01;Montecristi;1
1116342630887-01;Montecristi;1
1116342775109-01;Azogues;1
1116350237057-01;Quito;1
1116372361364-01;Portoviejo;1
1116402334098-01;Guayaquil;3
1116440675958-01;Quito;1
1116450651235-01;Quito;1
1116460312334-01;Cantón Daule;1
1116462416203-01;Guayaquil;1
1116480037341-01;Quito;2
1116480249696-01;Guayaquil;1
1116480485099-01;Guayaquil;1
1116481637380-01;Cantón Daule;1
1116481710352-01;Montecristi;1
1116481952189-01;Loja;1
1116483077766-01;Quito;2
1116483431110-01;Atacames;1
1116483541056-01;Salinas;1
1116490715034-01;Loja;2
1116491571277-01;Quito;2
1116492103584-01;Montecristi;1
1116492358740-01;Montecristi;1
1116492746903-01;Vinces;1
1116500214265-01;El Guabo;1
1116500410315-01;Guayaquil;1
1116500788433-01;Daule;1
1116501254505-01;Guayaquil;20
1116501384553-01;Daule;1
1116501992902-01;Jipijapa;2
1116502893002-01;Quito;2
1116510456706-01;Pedro Carbo;1
1116510863099-01;Quito;2
1116511064890-01;Quito;1
1116511361979-01;Ambato;2
1116513580426-01;Santa Elena;1
1116520285881-01;Loja;1
1116521418267-01;Pajan;1
1116521439361-01;Mocache;2
1116521765029-01;Montecristi;1
1116522550293-01;Quito;2
1116522605703-01;Guayaquil;1
1116522647954-01;Guayaquil;1
1116522687087-01;Guayaquil;1
1116523020133-01;Quito;2
1116523489129-01;Guayaquil;1
1116531050042-01;Quevedo;21
1116531477924-01;Quito;1
1116533070357-01;Playas;1
1116540238134-01;Portoviejo;1
1116540623147-01;Portoviejo;1
1116540810615-01;Portoviejo;1
1116540826433-01;Portoviejo;1
1116541596493-01;Lomas De Sargentillo;1
1116541671257-01;Portoviejo;1
1116541801810-01;Guayaquil;1
1116542188698-01;Guayaquil;1
1116542627321-01;Guayaquil;1
1116542834641-01;Santo Domingo;4
1116542910703-01;Santa Elena;1
1116543073397-01;Santa Elena;1
1116543581721-01;Portoviejo;1
1116550029454-01;Guayaquil;1
1116550424208-01;Quito;2
1116550448677-01;Guayaquil;1
1116550712481-01;Quito;46
1116551914572-01;Portoviejo;1
1116552060485-01;Guayaquil;1
1116552251219-01;Portoviejo;1
1116552483897-01;Portoviejo;1
1116552527404-01;Portoviejo;1
1116552543790-01;Quito;2
1116552610916-01;Quito;2
1116552831307-01;Riobamba;1
1116553044209-01;Guayaquil;2
1116553263944-01;Guayaquil;1
1116560240672-01;Guayaquil;1
1116561872942-01;Milagro;1
1116562318966-01;Guayaquil;1
1116562811704-01;Guayaquil;1
1116563187761-01;Guayaquil;1
1116563286842-01;Quito;2
1116563351339-01;Quito;2
1116563390491-01;Quito;2
1116563532681-01;Guayaquil;1
1116563585853-01;Santa Rosa;1
1116571057195-01;Guayaquil;2
1116573290197-01;Distrito Metropolitano de Quito;1
1116573523131-01;Guayaquil;2
1116580177989-01;Quito;2
1116580436869-01;Balzar;5
1116581334115-01;Milagro;1
1116581975633-01;Guayaquil;2
1116582235727-01;Quito;2
1116582362692-01;Guayaquil;1
1116583364383-01;Camilo Ponce Enriquez;1
1116583391836-01;Babahoyo;1
1116591803420-01;Santo Domingo;1
1116601735548-01;Babahoyo;1
1116602534531-01;Quito;1
1116610795681-01;Guayaquil;1
1116632617117-01;Guayaquil;1
1116710201272-01;Guayaquil;2
1116710327996-01;Guayaquil;1
1116710440741-01;Lomas De Sargentillo;1
1116710785001-01;Quito;5
1116713379140-01;Lomas De Sargentillo;1
1116713486315-01;Guayaquil;1
1116713529111-01;Guayaquil;1
1116720173359-01;Quito;1
1116722948396-01;La Troncal;1
1116731392181-01;Quito;1
1116731493836-01;Guayaquil;1
1116732604707-01;Riobamba;1
1116741772775-01;Quito;6
1116742562432-01;Pastaza;1
1116743372211-01;Cantón Daule;1
1116750382296-01;Guayaquil;2
1116750772351-01;Salinas;1
1116751570498-01;Tena;1
1116760312831-01;Pedro Carbo;1
1116760836988-01;Daule;7
1116762042735-01;Cuenca;1
1116763390572-01;Naranjito;1
1116770087247-01;Manta;2
1116771333100-01;Guayaquil;2
1116772099816-01;Guayaquil;1
1116780070446-01;Daule;1
1116783036873-01;Guayaquil;1
1116790157298-01;Distrito Metropolitano de Quito;1
1116790564480-01;Manta;2
1116790876636-01;Guayaquil;1
1116790964548-01;Sucre;2
1116792635169-01;Puerto Bolivar;25
1116793113942-01;La Libertad;9
1116801466607-01;Quito;52
1116810989243-01;Quito;12
1116812596776-01;Cantón Daule;1
1116820342248-01;Lomas De Sargentillo;1
1116821285145-01;Shushufindi;2
1116821669543-01;Machala;1
1116822440515-01;Guaranda;1
1116842915054-01;Riobamba;1
1116862308797-01;Guayaquil;32
1116863143981-01;Sucre;2
1116873035596-01;Daule;4
1116933449964-01;Salinas;4
1116941323510-01;Santa Rosa;1
1116941511264-01;Salitre;1
1116941685403-01;Salitre;1
1116951653660-01;Pedro Carbo;1
1116961300080-01;Manta;12
1116961885420-01;Loja;20
1116962098573-01;Quito;12
1116962105135-01;Loja;3
1116962315969-01;Loja;31
1116962358791-01;Loja;5
1116962381546-01;Guayaquil;2
1116963129349-01;Portoviejo;11
1116972790572-01;Quito;29
1116973341205-01;Guayaquil;2
1116980070663-01;La Troncal;1
1116980366974-01;Pedro Carbo;1
1116982705958-01;Pajan;1
1116993032188-01;Guayaquil;22
1117000442162-01;Guayaquil;1
1117010209462-01;Jipijapa;2
1117010552293-01;Jipijapa;2
1117011847455-01;Guayaquil;2
1117012812981-01;Pajan;1
1117013115730-01;Jipijapa;2
1117013296565-01;Duran;3
1117013356882-01;Jipijapa;2
1117020020486-01;Guayaquil;1
1117020371202-01;Quito;1
1117022306054-01;El Quinche;1
1117023312820-01;Naranjal;1
1117030760976-01;Pedro Carbo;1
1117040696882-01;Salitre;1
1117041061603-01;Pujili;1
1117041560929-01;Pujili;1
1117041951783-01;Pedro Carbo;1
1117042566574-01;Milagro;1
1117043068425-01;Pujili;1
1117043355814-01;Pujili;1
1117050555863-01;Guayaquil;1
1117051549139-01;Pastaza;1
1117051737891-01;Quito;3
1117051869969-01;Pujili;1
1117061578055-01;Portoviejo;1
1117061618953-01;Jipijapa;2
1117061700100-01;Jipijapa;2
1117071357083-01;Portoviejo;1
1117083401904-01;Guayaquil;19
1117120226788-01;Guayaquil;29
1117161680069-01;Daule;47
1117171191948-01;Playas;1
1117181598782-01;Guayaquil;6
1117191808211-01;Guayaquil;1
1117191892192-01;Guayaquil;1
1117192582029-01;Quevedo;1
1117192700098-01;Machala;2
1117200189471-01;Cuenca;1
1117200648188-01;Guayaquil;31
1117200823212-01;Quito;2
1117200849058-01;Guayaquil;1
1117201338500-01;Salitre;1
1117201629998-01;Pichincha;1
1117201948730-01;Atacames;2
1117202036933-01;Zapotillo;4
1117202060556-01;Cantón Daule;1
1117202506077-01;Guayaquil;2
1117203168787-01;Cuenca;1
1117203173633-01;Sucre;1
1117203330361-01;Guayaquil;1
1117203397936-01;Salitre;1
1117203515643-01;Cuenca;1
1117210167754-01;Ambato;1
1117210986806-01;Quito;1
1117211185518-01;Guayaquil;2
1117211721547-01;Tonsupa;1
1117211755552-01;Guayaquil;24
1117211923614-01;Sucre;1
1117220055211-01;Babahoyo;2
1117220166326-01;Sucre;1
1117220805551-01;Pujili;1
1117221555023-01;Pujili;1
1117222053585-01;Tonsupa;1
1117222516267-01;Guayaquil;1
1117222893306-01;Manta;6
1117230663193-01;Manta;1
1117230866915-01;Distrito Metropolitano de Quito;1
1117231269443-01;Distrito Metropolitano de Quito;1
1117232907409-01;Playas;1
1117233266278-01;Duran;9
1117241676549-01;Quito;1
1117242641697-01;Machala;1
1117242832798-01;Machala;1
1117242855773-01;Ibarra;1
1117251019803-01;Jipijapa;2
1117251238617-01;Milagro;25
1117260071866-01;Guayaquil;1
1117260107861-01;Guayaquil;1
1117260290131-01;Ambato;1
1117260469444-01;Babahoyo;2
1117260620335-01;Babahoyo;2
1117263472109-01;Babahoyo;2
1117270288122-01;Pedro Carbo;1
1117270536903-01;Guayaquil;47
1117271276896-01;Guayaquil;1
1117272388272-01;Guayaquil;70
1117273483089-01;Quito;20
1117273514327-01;Guayaquil;1
1117273583155-01;Santa Elena;1
1117280059850-01;Guayaquil;36
1117281140862-01;Guayaquil;1
1117281316548-01;Santa Rosa;28
1117281702955-01;Manta;1
1117282408695-01;Sucre;1
1117290504614-01;Santa Elena;1
1117300293697-01;Manta;1
1117300388511-01;Guayaquil;28
1117300484560-01;Manta;1
1117300493466-01;Portoviejo;1
1117300691698-01;Guayaquil;1
1117300840140-01;Portoviejo;1
1117300968751-01;Duran;1
1117301126300-01;Portoviejo;1
1117301158092-01;Portoviejo;1
1117311820486-01;Manta;1
1117312033614-01;Machala;1
1117322277818-01;Portoviejo;1
1117322418128-01;Cuenca;30
1117322496005-01;Jipijapa;2
1117322838015-01;Daule;72
1117322894860-01;Riobamba;67
1117340203566-01;Daule;1
1117343505222-01;Guayaquil;1
1117400284567-01;Quito;2
1117410276025-01;Portoviejo;1
1117413107962-01;Portoviejo;1
1117413175499-01;Portoviejo;1
1117420558676-01;Portoviejo;1
1117430310967-01;Guayaquil;2
1117430707393-01;Posorja;1
1117431682464-01;Quito;16
1117433498922-01;Machala;1
1117433520221-01;Guayaquil;1
1117440334118-01;Macas;1
1117440717416-01;Guayaquil;13
1117441159542-01;Balzar;1
1117442249974-01;Lomas De Sargentillo;1
1117442287006-01;Cantón Daule;1
1117443516842-01;Guayaquil;1
1117452155183-01;Quito;20
1117452269820-01;Vinces;1
1117452507163-01;Babahoyo;1
1117453273056-01;Cantón Daule;1
1117460733512-01;Daule;1
1117462652790-01;Guayaquil;1
1117470172528-01;Quito;27
1117480108123-01;Guayaquil;1
1117480243641-01;Quito;32
1117480516013-01;Guayaquil;1
1117480684154-01;Quito;40
1117482226055-01;Distrito Metropolitano de Quito;1
1117491248438-01;Guayaquil;1
1117491751347-01;Quito;14
1117491908705-01;Guayaquil;2
1117492021084-01;Guayaquil;13
1117492264532-01;Palestina;1
1117492865399-01;Cantón Daule;1
1117493057928-01;Milagro;29
1117493495393-01;Cantón Daule;1
1117500224947-01;Azogues;1
1117500561486-01;Palestina;1
1117500783204-01;Palestina;1
1117501444185-01;Milagro;1
1117501662441-01;Milagro;1
1117501882092-01;Nobol;1
1117501950108-01;Guayaquil;1
1117502050967-01;Nobol;1
1117502232227-01;Guayaquil;1
1117502308199-01;Guayaquil;40
1117502580921-01;Salitre - Urbina Jado;1
1117510555080-01;Babahoyo;1
1117510781669-01;Babahoyo;1
1117510961479-01;Daule;2
1117512765320-01;Alamor;1
1117513026415-01;Guayaquil;33
1117513444528-01;Salitre;1
1117522718572-01;Milagro;1
1117530623566-01;Riobamba;8
1117531660342-01;Manta;1
1117531762873-01;Guayaquil;16
1117532058230-01;Vinces;1
1117532323417-01;Santa Elena;1
1117533366303-01;Guayaquil;2
1117540190787-01;Sangolqui;64
1117540688078-01;Santo Domingo;4
1117541278400-01;Guayaquil;10
1117541717028-01;Cumanda;1
1117542370785-01;Quito;17
1117542824152-01;El Cambio;1
1117550102262-01;Duran;5
1117551178739-01;Duran;1
1117552224132-01;Vinces;12
1117562082833-01;Milagro;12
1117562516694-01;Loja;122
1117571595452-01;Guayaquil;1
1117572195510-01;Quito;68
1117671160394-01;Riobamba;1
1117672196145-01;Quito;2
1117672231022-01;Cantón Daule;1
1117681202960-01;Manta;2
1117681694321-01;Guayaquil;1
1117681775417-01;Samborondon;2
1117682521225-01;Guayaquil;1
1117682593212-01;Orellana;1
1117683095498-01;Riobamba;1
1117693548779-01;Cantón Ambato;1
1117700954436-01;Guayaquil;1
1117701932458-01;Guayaquil;1
1117702148893-01;Guayaquil;1
1117702429922-01;Marcelino Mariduena;3
1117703478208-01;Quito;1
1117721130218-01;Samborondon;1
1117721395135-01;Samborondon;1
1117721586307-01;Guayaquil;1
1117723370893-01;Duran;7
1117730472761-01;Quito;1
1117731761174-01;Guayaquil;1
1117740402157-01;Guayaquil;1
1117740709143-01;Guayaquil;1
1117742252763-01;Tena;2
1117742822508-01;Samborondon;1
1117742846149-01;Guayaquil;1
1117743348766-01;Guayaquil;1
1117743587555-01;Babahoyo;1
1117750266496-01;Orellana;3
1117752043026-01;Pedro Carbo;1
1117752300664-01;Pedro Carbo;1
1117752418559-01;Pedro Carbo;1
1117760176261-01;Quito;2
1117760587319-01;Quito;1
1117760853428-01;Manta;1
1117761376200-01;Santa Elena;1
1117761541004-01;Quito;1
1117761696316-01;Quito;1
1117762360548-01;Guayaquil;36
1117763085018-01;Jipijapa;2
1117770401120-01;Guayaquil;2
1117770704079-01;Portoviejo;1
1117770836859-01;Guayaquil;1
1117771659194-01;Santo Domingo;2
1117772924326-01;Portoviejo;1
1117773239568-01;Milagro;1
1117782999175-01;Riobamba;4
1117783564381-01;Machala;1
1117800627377-01;Guayaquil;3
1117801777589-01;Pedernales;9
1117802267633-01;Guayaquil;1
1117881540823-01;Quito;1
1117890019678-01;Quito;1
1117893306390-01;Machachi;6
1117901129224-01;Guayaquil;1
1117901138220-01;Guayaquil;1
1117901360572-01;Pedro Carbo;2
1117903259814-01;Samborondon;1
1117910286491-01;Loja;1
1117910422338-01;Pedro Carbo;2
1117910959430-01;Guayaquil;1
1117911487712-01;Pedro Carbo;1
1117912014785-01;Salitre;1
1117912191831-01;Pedro Carbo;1
1117912363798-01;Pedro Carbo;1
1117912550093-01;Pedro Carbo;1
1117920241976-01;Guayaquil;15
1117921403735-01;Guayaquil;15
1117921884664-01;Bahia De Caraquez;1
1117922424178-01;Milagro;1
1117930660274-01;Quito;2
1117931022330-01;Guayaquil;1
1117931297549-01;Quito;5
1117931406764-01;Machala;1
1117931411497-01;Salinas;19
1117931617210-01;Guayaquil;1
1117931670350-01;Loja;1
1117931975679-01;Guayaquil;1
1117932130847-01;Machala;2
1117932982425-01;Guayaquil;1
1117933371619-01;Salitre;1
1117940033251-01;Lomas De Sargentillo;1
1117940043717-01;Pajan;1
1117940781183-01;Pasaje;1
1117941506523-01;Atuntaqui;1
1117941930942-01;Portoviejo;1
1117942230213-01;Salitre;1
1117942249809-01;Portoviejo;4
1117942935209-01;Isidro Ayora;1
1117943274188-01;Lomas De Sargentillo;1
1117943301145-01;Quito;17
1117950250498-01;Pedro Carbo;1
1117950453992-01;Loja;1
1117951125050-01;El Triunfo;1
1117951317664-01;Pedro Carbo;1
1117951640386-01;Quininde;1
1117951991323-01;Machala;2
1117952145266-01;Machala;2
1117952174979-01;Guayaquil;1
1117952339548-01;Guayaquil;3
1117952345237-01;Quito;1
1117953328882-01;Machala;1
1117961755140-01;Pedro Carbo;1
1117961877783-01;Pujili;14
1117962129095-01;Pedro Carbo;1
1117962384481-01;Ambato;2
1117962687422-01;Quito;1
1117963016290-01;Ibarra;2
1117963297604-01;Pedro Carbo;1
1117970316315-01;Conocoto;2
1117972085374-01;Salitre;1
1117972165202-01;Jipijapa;1
1117972442122-01;Posorja;1
1117972664779-01;Rumiðahui;1
1117972678003-01;Guayaquil;1
1117972941783-01;Guayaquil;1
1117973510506-01;Pedro Carbo;2
1117973512816-01;Orellana;1
1117973562314-01;Cantón Daule;1
1117980017950-01;Tumbaco;1
1117981200503-01;Manta;1
1117982432632-01;Lomas De Sargentillo;1
1117982956610-01;Guayaquil;1
1117990143941-01;Quito;1
1117990243919-01;Pedro Carbo;1
1117990607023-01;Pedro Carbo;1
1117990752996-01;Playas;1
1117991891220-01;Guayaquil;1
1117992189467-01;Guayaquil;1
1117992588919-01;Cantón Daule;1
1117992868088-01;Cantón Daule;1
1118002058914-01;Machala;2
1118002375554-01;Rocafuerte;1
1118002921859-01;Milagro;1
1118003110657-01;Milagro;1
1118003530380-01;Daule;1
1118010082805-01;Guayaquil;1
1118010254809-01;Guayaquil;1
1118010257720-01;Guayaquil;4
1118010430940-01;Quito;1
1118010530182-01;Quito;1
1118011185289-01;Guayaquil;37
1118011661723-01;Cantón Daule;1
1118012271029-01;Distrito Metropolitano de Quito;1
1118020426962-01;Guayaquil;11
1118021360169-01;Guayaquil;1
1118021847084-01;Cantón Daule;1
1118022195976-01;Cuenca;1
1118022273587-01;Guayaquil;1
1118023343445-01;Guayaquil;2
1118030304083-01;Guayaquil;1
1118030331100-01;Quito;2
1118030811894-01;Guayaquil;1
1118032038885-01;Guayaquil;1
1118032170120-01;Otavalo;1
1118032304198-01;Milagro;2
1118042036282-01;Portoviejo;1
1118042423550-01;Guayaquil;1
1118050044971-01;Ambato;1
1118050708127-01;Guayaquil;6
1118051169353-01;Duran;1
